../../input_audio/p_audio/audio90.wav|We believe we can.
"../../input_audio/p_audio/audio84.wav|As India pursues more trade and investment, we want to be first in line."
../../input_audio/p_audio/audio53.wav|What's that? Then Twitter.
"../../input_audio/p_audio/audio230.wav|in both our countries, in India and in America. Our diversity is our strength, and we have to guard against."
../../input_audio/p_audio/audio224.wav|Do we act with?
../../input_audio/p_audio/audio47.wav|Together we unlock new discoveries.
../../input_audio/p_audio/audio218.wav|the Lions of the Lidious Faith.
../../input_audio/p_audio/audio185.wav|We have Hindus and Muslims.
../../input_audio/p_audio/audio191.wav|part of America's very first amendment.
../../input_audio/p_audio/audio146.wav|as a fellow untouchable.
"../../input_audio/p_audio/audio152.wav|grapple with questions of identity and inequality and how we treat each other, people who are different than us, how we deal with diversity, beliefs, and a faith."
"../../input_audio/p_audio/audio153.wav|Right now in crowded neighborhoods, not far from here, a man is driving an auto rickshaw or washing somebody else's clothes or doing the hard work. No one else will do it."
../../input_audio/p_audio/audio147.wav|My grandfather was a cook for the British Army in Kenya.
../../input_audio/p_audio/audio190.wav|for their branches of the same majestic tree. Bransches of the same majestic tree. Our freedom of religion is written into our founding document.
../../input_audio/p_audio/audio184.wav|across our two great countries.
"../../input_audio/p_audio/audio219.wav|So long, it's not splintered along any lines and is unified as one nation."
../../input_audio/p_audio/audio225.wav|We vote in free election.
"../../input_audio/p_audio/audio46.wav|We believe in the father working far from home, sending money back so his family might have a better life."
"../../input_audio/p_audio/audio52.wav|powered by technology, you are connecting and collaborating like never before. On Facebook."
../../input_audio/p_audio/audio231.wav|Any efforts?
../../input_audio/p_audio/audio85.wav|We're ready to join you in building new infrastructure.
../../input_audio/p_audio/audio91.wav|the even closer partners and ensuring
../../input_audio/p_audio/audio87.wav|the bullet trains to propel India into the future.
../../input_audio/p_audio/audio93.wav|and both our nations have known the anguish of terrorism.
../../input_audio/p_audio/audio44.wav|as society's that celebrate knowledge and innovation.
../../input_audio/p_audio/audio227.wav|Are we measured by?
"../../input_audio/p_audio/audio233.wav|And if we do that well, if America..."
../../input_audio/p_audio/audio50.wav|and built one of the world's largest middle classes.
../../input_audio/p_audio/audio78.wav|Kerala to the banks of Gangnam.
../../input_audio/p_audio/audio192.wav|Your article 25 says that all people are equally entitled to freedom of conscience.
../../input_audio/p_audio/audio186.wav|Christchurch and Sikhs and Jews and Buddhists.
"../../input_audio/p_audio/audio151.wav|many countries, including the United States."
"../../input_audio/p_audio/audio145.wav|When he came to India, Martin Luther King, Jr. was introduced to some school children."
"../../input_audio/p_audio/audio179.wav|And when women are able to work, families are healthier, and communities are wealthier, and entire countries are more prosperous. And when young women are educated, then their children are going to be well-educated."
"../../input_audio/p_audio/audio178.wav|When a girl goes to school, it doesn't just open up her young mind. It benefits all of us because maybe someday she'll start her own business or invent a new technology or cure a disease."
"../../input_audio/p_audio/audio144.wav|In both our countries, generations have worked to live up to these ideals."
"../../input_audio/p_audio/audio150.wav|Even as America has blessed us with extraordinary opportunities, there were moments in my life where I've been treated differently because of the color of my-"
../../input_audio/p_audio/audio187.wav|and so many things.
"../../input_audio/p_audio/audio193.wav|and the right freely to profess, practice, and propagate religion."
"../../input_audio/p_audio/audio79.wav|As we deliver more energy, more electricity, let's do it."
../../input_audio/p_audio/audio232.wav|divide ourselves along sectarian lines or any other
../../input_audio/p_audio/audio51.wav|Nobody embodies this progress in this sense of possibility more than our young people.
../../input_audio/p_audio/audio45.wav|We transformed ourselves into high tech hubs of the global economy.
../../input_audio/p_audio/audio226.wav|Our two nations possess the keys to progress in the century ahead.
../../input_audio/p_audio/audio92.wav|our mutual security.
../../input_audio/p_audio/audio86.wav|the roads and the airport.
../../input_audio/p_audio/audio82.wav|because every child should be able to drink clean water. And every child should be able to breathe cleaner.
../../input_audio/p_audio/audio96.wav|The United States welcomes a greater role for India in the Asia Pacific.
"../../input_audio/p_audio/audio69.wav|From our satellites to their cell phones, to increase yields and boost incomes."
"../../input_audio/p_audio/audio222.wav|And every Indian can take pride in the courage of a humanitarian who liberates boys and girls from forced labor and exploitation who's here today. K. Lash, Sijati, our most recent winner of the Nobel Prize for Peace. So that's what unifies us."
"../../input_audio/p_audio/audio41.wav|But when we look at each other, we see a reflection of ourselves."
"../../input_audio/p_audio/audio55.wav|friends, your cousins."
../../input_audio/p_audio/audio236.wav|That's what makes us world leaders. Not just the size of our economy or the number of weapons we have.
../../input_audio/p_audio/audio197.wav|But there have been times where my faith has been questioned. My people who don't know me.
"../../input_audio/p_audio/audio183.wav|Our nations are strongest when we see that we are all God's children, all equal in his eyes and worthy of his"
"../../input_audio/p_audio/audio168.wav|Now, you may have noticed I am married to a very strong and talented woman. Michelle is not afraid to speak her mind or tell me when I'm wrong, which happens frequently. And we have two beautiful daughters. So I'm surrounded by smart, strong women. And in raising our girls, we've tried to instill in them basic values."
../../input_audio/p_audio/audio154.wav|The woman is cleaning somebody else's house. And a young man is on a bicycle delivering lunch.
"../../input_audio/p_audio/audio140.wav|Look at our countries, the incredible diversity, even here in this hall. India is defined by countless languages and dialects in every color and cast and creed"
../../input_audio/p_audio/audio141.wav|gender and orientations.
../../input_audio/p_audio/audio155.wav|A little girl is hauling a heavy bucket of water.
../../input_audio/p_audio/audio169.wav|sense of compassion for others and respect for themselves and the confidence that they can go as far as their imaginations and abilities will carry them.
"../../input_audio/p_audio/audio182.wav|They can't simply ignore the talents of half their people. And as husbands and fathers and brothers, we have to step up because every girl's life matters, every daughter deserves the same chances our sons. Every woman should be able to go about her day to walk the streets, or ride the bus, and be safe, and be treated with respect and dignity. She deserves that. And one of the favorite things about this trip for me has been to see all these incredible Indian women in the armed forces, including the person who commanded the guard that greeted me when I arrived. It's remarkable. And it's a sign of great strength and great pride."
"../../input_audio/p_audio/audio196.wav|And our lives, Michelle and I have been strengthened by our Christian faith."
../../input_audio/p_audio/audio54.wav|Chances are you're talking to someone in America.
../../input_audio/p_audio/audio237.wav|that our ability to show the way in how we work together.
../../input_audio/p_audio/audio223.wav|We work and we build and we innovate.
../../input_audio/p_audio/audio40.wav|speak different languages.
../../input_audio/p_audio/audio68.wav|working together we're giving farmers new techniques and data.
../../input_audio/p_audio/audio97.wav|where the freedom of navigation must be upheld and disputes must be resolved peacefully.
../../input_audio/p_audio/audio83.wav|We need our young people healthy for their futures. And we can do it. We have the technology to do it. America wants to be your partner in igniting the next wave of Indian growth.
../../input_audio/p_audio/audio95.wav|Now we're deepening our defense cooperation against new challenge.
../../input_audio/p_audio/audio81.wav|Let's put cleaner vehicles on the road and more filtration systems on farms and villages.
../../input_audio/p_audio/audio209.wav|years ago in our state of Wisconsin back in the United States a man went into a Sikh temple.
../../input_audio/p_audio/audio235.wav|has massive as it is with so much diversity. So many differences is able to continually affirm its democracy. That is an example for every other country on earth.
"../../input_audio/p_audio/audio56.wav|The United States has the largest Indian diaspora in the world, including some 3 million proud Indian Americans. And they make America stronger, and they tie us together."
"../../input_audio/p_audio/audio42.wav|Having thrown off colonialism, we created constitutions that began with the three same"
"../../input_audio/p_audio/audio221.wav|go to the movies and applaud actors like Shao Rukang. And when you celebrate athletes like Milk Using or Mary Coleman,"
../../input_audio/p_audio/audio180.wav|and have more opportunities.
../../input_audio/p_audio/audio194.wav|in both our countries.
"../../input_audio/p_audio/audio143.wav|Your constitution begins with the pledge to uphold the dignity of the individual, and our Declaration of Independence proclaims that all men are created equal."
"../../input_audio/p_audio/audio157.wav|are just as important, just as beautiful, just as worthy as ours."
"../../input_audio/p_audio/audio156.wav|And I believe their dreams, their hopes."
"../../input_audio/p_audio/audio142.wav|And likewise in America, we're black and white, and Latino, and Asian, and Indian-American, and Native-American."
"../../input_audio/p_audio/audio195.wav|In all countries, upholding this fundamental freedom is the responsibility of government, but it's also the responsibility of every person."
../../input_audio/p_audio/audio181.wav|So if nations really want to succeed in today's global economy.
../../input_audio/p_audio/audio43.wav|with the people.
"../../input_audio/p_audio/audio220.wav|And it's when all Indians, whatever your faith."
../../input_audio/p_audio/audio234.wav|shows itself as an example of its diversity and yet the capacity to live together and work together in common effort and common purpose if India.
../../input_audio/p_audio/audio57.wav|bonds of family and friendship that allow us to share in each other's success.
../../input_audio/p_audio/audio208.wav|the light of God.
../../input_audio/p_audio/audio80.wav|with clean renewable energy like solar and wind.
../../input_audio/p_audio/audio94.wav|We stand united in the defense of our people.
"../../input_audio/p_audio/audio253.wav|But in our two countries, it's possible."
../../input_audio/p_audio/audio30.wav|those two great souls or why we can gather here today.
../../input_audio/p_audio/audio24.wav|when Reverend Dr. Martin Luther King Jun.
../../input_audio/p_audio/audio247.wav|I was more youthful when I first started this office.
